foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
(-ega -a),noun,m ,Gemüseteller,0,5,Substantiv ,459,,
(-ih/-ø),noun,f ,alkoholfreie Getränke,0,5,Substantiv /pl ,459,,
abecednik (-a),noun,-,Fibel (erstes Lesebuch),0,12,"Substantiv, m ",459,,
adíjo,mix,-,Tschüß,,2,Interjektion ,32,,
agéncija (-e),noun,-,Agentur,,15,"Substantiv, f ",459,,
alkoholne pijače,noun,f ,alkoholische Getränke,,5,Substantiv /pl ,459,,
Alpe (-ø),noun,f/Pl ,Alpen,,14,Substantiv ,459,,
"alpski, -a, -o",adj,-,Alpen-,,14,Adjektiv ,208,,
àmpak,mix,-,"aber, sondern",,4,Konjunktion ,32,,
apríl (-a),noun,m ,April,,1,Substantiv ,459,,
arhitékt (-a),noun,m ,Architekt,,1,Substantiv ,459,,
Avstrija (-e),noun,f ,Österreich,,14,Substantiv ,459,,
Ávstrija (-e),noun,f ,Österreich,,2,Substantiv ,459,,
ávto (-a),noun,m ,Auto,,1,Substantiv ,459,,
"avtobusni, -a, -o",adj,-,Bus- (in Komposita),0,7,Adjektiv ,208,,
avtomobíl (-a),noun,m ,Auto (im Dual und Plural anstelle von avto gebraucht),Auto,6,Substantiv ,459,http://mrg.bz/z5xfUe,car
avtor (-ja),noun,-,Author,,12,"Substantiv, m ",459,,
bábica (-e),noun,f ,Oma,,9,Substantiv ,459,,
banána (-e),noun,f ,Banane,,1,Substantiv ,459,http://mrg.bz/XhT9qz,bananas
bánka (-e),noun,f ,Bank,,1,Substantiv ,459,,
bankomat (-a),noun,m ,Geldautomat,,8,Substantiv ,459,,
bár (-a),noun,m ,Bar,,3,Substantiv ,459,,
"bati se, boji se",verb,-,sich fürchten,,10,"Verb, impf ",145,,
"bél -a, -o",adj,-,weiß,,3,Adjektiv ,208,,
bela kava,noun,f ,Milchkaffee,,5,Substantiv ,459,,
belo vino,noun,n ,Weißwein,,5,Substantiv ,459,,
beséda (-e),noun,f ,Wort,,1,Substantiv ,459,,
besedílo (-a),noun,n ,Text,,9,Substantiv ,459,,
besedíšče (-a),noun,n ,Vokabelliste,,1,Substantiv ,459,,
béž (auch beige)(unveränderlich),adj,-,beige,,3,Adjektiv ,208,,
bi,mix,-,würde,,5,"Partikel, (Konditionalmorphem) ",32,,
biblija (-e),noun,-,Bibel,,12,"Substantiv, f ",459,,
biologíja (-e),noun,f ,Biologie,,1,Substantiv ,459,,
"bíti, je",verb,-,sein,,2,"Verb, impf ",145,,
blizu,adj,-,in der Nähe,,8,Adverb ,208,,
bôlj,adj,-,mehr,,2,"Adverb, Komparativ ",208,,
"boljši, -a, -e",adj,-,besser,,14,Adjektiv ,208,,
"brálec, -lca",noun,m ,Leser,,16,Substantiv ,459,,
"branjevka, -e",noun,f ,Markthändlerin / Gemüsefrau,,11,Substantiv ,459,,
"brati, bere",verb,-,lesen,,12,"Verb, impf ",145,,
"bráti, bêre",verb,-,lesen,,4,"Verb, impf ",145,,
čaj (-a),noun,m ,Tee,,5,Substantiv ,459,,
čas (-a),noun,m ,Zeit,,13,Substantiv ,459,,
čàs (čása),noun,m ,Zeit,,9,Substantiv ,459,,
časopis (-a),noun,m ,Zeitung,,13,Substantiv ,459,,
časopís (-a),noun,m ,Zeitung,,6,Substantiv ,459,,
Čéh (-a),noun,m ,Tscheche,,1,Substantiv ,459,,
"cél, -a, -o",adj,-,ganz,,15,Adjektiv ,208,,
celo,adj,-,sogar,,14,Adverb ,208,,
cénter (-tra),noun,m ,Zentrum,,1,Substantiv ,459,,
cerkev (-kve),noun,f ,Kirche,,8,Substantiv ,459,,
"češnja, -e",noun,f ,Kirsche,,11,Substantiv ,459,,
čevapčiči,noun,m ,Cevapcici,,5,"Substantiv, pl ",459,,
čevelj (-vlja),noun,m ,Schuh,,8,Substantiv ,459,http://mrg.bz/CVsOCf,shoe
čez,prep,-,-,,6,Präposition,18,,
cigaréta (-e),noun,f ,Zigarette,,1,Substantiv ,459,http://mrg.bz/mMv1mX,cigarette
"čigáv -a, -o",pron,-,wessen,,3,Interrogativpronom ,28,,
Číle (-a),noun,m ,Chile,,9,Substantiv ,459,,
cílj (-a),noun,m ,Ziel,,1,Substantiv ,459,,
číps (-a),noun,m ,Kartoffelchips,,1,Substantiv ,459,http://mrg.bz/JCGHDA,chips
član (-a),noun,m ,Mitglied,,14,Substantiv ,459,,
"článek, -a",noun,m ,Artikel,,16,Substantiv ,459,,
cmok (-a),noun,m ,Knödel,,5,Substantiv ,459,,
čokoláda (-e),noun,f ,Schokolade,,1,Substantiv ,459,,
"črn -a, -o",adj,-,schwarz,,13,Adjektiv ,208,,
črtica (-e),noun,-,Kurzgeschichte,,12,"Substantiv, f ",459,,
Cukrarna (-e),noun,-,ehemalige Zuckerfabrik in Ljubljana,0,12,"Substantiv, f ",459,,
da,mix,-,um ... zu,,6,Konjunktion ,32,,
"daljši, -a, -e",adj,-,länger,,14,Adjektiv ,208,,
dan (dneva),noun,m ,Tag,,7,Substantiv ,459,,
dán (dnéva),noun,m ,Tag,,4,Substantiv ,459,,
dán (dnéva),noun,m ,Tag,,2,Substantiv ,459,,
danes,adj,-,heute,,12,Adverb ,208,,
darilo (-a),noun,n ,Geschenk,,7,Substantiv ,459,,
"dáti, -a",verb,-,geben,,15,"Verb, pf ",145,,
"dati, da",verb,-,geben,,7,"Verb, pf ",145,,
"dêbel debéla, -o",adj,-,dick,,3,Adjektiv ,208,,
december (-bra),noun,-,Dezember,,12,"Substantiv, m ",459,,
decêmber (-bra),noun,m ,Dezember,,1,Substantiv ,459,,
dédek (-dka),noun,m ,Opa,,9,Substantiv ,459,,
"dél, -a",noun,m ,Teil,,16,Substantiv ,459,,
"délati, -a",verb,-,machen,,4,"Verb, impf ",145,,
"délaven, -vna, -o",adj,-,fleißig,,6,Adjektiv ,208,,
delo (-a),noun,-,"Arbeit, Werk",,12,"Substantiv, n ",459,,
délo (-a),noun,n ,Arbeit,,9,Substantiv ,459,,
désna (-e),noun,f ,rechte Seite,,3,Substantiv ,459,,
"deževáti, dežúje",verb,-,regnen,,6,"Verb, impf ",145,,
diplóma (-e),noun,f ,Diplom,,1,Substantiv ,459,,
dísko (-a),noun,m ,Disko,,1,Substantiv ,459,http://morguefile.com/archive/display/196495,disco
do,prep,-,nach,,13,"Präposition, Gen. ",18,,
"dober -bra, -o",adj,-,gut,,10,Adjektiv ,208,,
"dober, -bra, -o",adj,-,gut,,14,Adjektiv ,208,,
"dóber, dôbra, dôbro",adj,-,gut,,2,Adjektiv ,208,,
"dobíti se, -ì se",verb,-,sich treffen,,9,"Verb, pf ",145,,
dobro,adj,-,gut,,7,Adverb ,208,,
dôbro,adj,-,gut,,2,Adverb ,208,,
"dodáti, -á",verb,-,hinzufügen,,15,"Verb, pf ",145,,
Dolenjska (-e),noun,-,Landschaft südlich von Ljubljana,0,12,"Substantiv, f ",459,,
"dolg, -a, -o",adj,-,lang,,14,Adjektiv ,208,,
dólgčas (-a),noun,m ,Langeweile,,9,Substantiv ,459,,
dólgo,adj,-,lange,,6,Adverb ,208,,
dolina (-e),noun,f ,Tal,,14,Substantiv ,459,,
doma,adj,-,zu Hause,,10,Adverb ,208,,
domov,adj,-,nach Hause,,13,Adverb ,208,,
domôv,adj,-,nach Hause,,6,Adverb ,208,,
dopôldne,adj,-,vormittags,,4,Adverb ,208,,
"doséči, doséže",verb,-,erreichen,,16,"Verb, pf ",145,,
družina (-e),noun,-,Familie,,12,"Substantiv, f ",459,,
država (-e),noun,f ,Staat,,14,Substantiv ,459,,
držáva (-e),noun,f ,Staat,,2,Substantiv ,459,,
"držávna nagráda, -e, -e",noun,f ,Staatspreis,,16,Adjektiv/Substantiv ,459,,
Dúnaj (-a),noun,m ,Wien,,2,Substantiv ,459,,
ekonomíja (-e),noun,f ,Ökonomie,,1,Substantiv ,459,,
ekspreso (-a),noun,m ,Espresso,,5,Substantiv ,459,,
enolončnica (-e),noun,f ,Eintopf,,5,Substantiv ,459,,
esej (-a),noun,m ,Essay,,13,Substantiv ,459,,
évro (-a),noun,m ,Euro,,1,Substantiv ,459,,
Evrópa (-e),noun,f ,Europa,,1,Substantiv ,459,,
"Evropski, -a, -o",adj,-,europäisch,,14,Adjektiv ,208,,
faks-a,noun,m ,Fakultät (umgangssprachlich),0,10,Substantiv ,459,,
fakulteta (-e),noun,f ,Fakultät,,13,Substantiv ,459,,
fakultéta (-e),noun,f ,Fakultät,,1,Substantiv ,459,,
februar (-ja),noun,-,Februar,,12,"Substantiv, m ",459,,
fébruar (-ja),noun,m ,Februar,,1,Substantiv ,459,,
filharmonija (-e),noun,f ,Philharmonie,,8,Substantiv ,459,,
"fílmski -a, -o",adj,-,Film-,,9,Adjektiv ,208,,
filozofíja (-e),noun,f ,Philosophie,,1,Substantiv ,459,,
"filozófski -a, -o",adj,-,philosophisch,,3,Adjektiv ,208,,
"filozófski, -a, -o",adj,-,philosophisch,,6,Adjektiv ,208,,
fižôl (fižóla),noun,-,Bohne,,15,"Substantiv, m ",459,,
"fižol, -a",noun,m ,Bohne,,11,"Substantiv, Sg ",459,,
Francóz (-a),noun,m ,Franzose,,9,Substantiv ,459,,
galerija (-e),noun,f ,Galerie,,13,Substantiv ,459,,
galeríja (-e),noun,f ,Galerie,,1,Substantiv ,459,,
garáža (-e),noun,f ,Garage,,1,Substantiv ,459,http://mrg.bz/FYzbmP,garage
geografíja (-e),noun,f ,Geographie,,1,Substantiv ,459,,
gibanica (-e),noun,f ,"Strudelähnliche Süßspeise mit Mohn, Quark und Äpfel",0,5,Substantiv ,459,,
"glavni, -a, -o",adj,-,Haupt-,,14,Adjektiv ,208,,
golaž (-a),noun,m ,Gulasch,,5,Substantiv ,459,,
gora (-e),noun,f ,Berg,,14,Substantiv ,459,http://mrg.bz/VzjpkR,mountain
Gorenjska (-e),noun,-,Landschaft nordwestlich von Ljubljana,0,12,"Substantiv, f ",459,,
gospá (-e),noun,f ,Frau,,2,Substantiv ,459,,
gospód (-a),noun,m ,Herr,,2,Substantiv ,459,,
gospodíčna (-e),noun,f ,Fräulein,,2,Substantiv ,459,,
gost (-a),noun,m ,Gast,,14,Substantiv ,459,,
gotôvo,adj,-,fertig,,15,Adverb ,208,,
goveja juha,noun,f ,Rinderbrühe,,5,Substantiv ,459,,
"govoriti, -i",verb,-,erzählen,,13,"Verb, impf ",145,,
Gradec (-dca),noun,-,slowenischer Name für Graz,0,12,"Substantiv, m ",459,,
"grozdje, -a",noun,n ,Weintrauben,,11,"Substantiv, Sg ",459,,
haló,mix,-,Hallo,,1,Interjektion ,32,,
harmónika (-e),noun,f ,Akkordeon,,9,Substantiv ,459,,
hčerka (-e),noun,f ,Tochter,,7,Substantiv ,459,,
híša (-e),noun,f ,Haus,,3,Substantiv ,459,,
"híšni -a, -o",adj,-,Haus-,,2,Adjektiv ,208,,
hítro,adj,-,schnell,,6,Adverb ,208,,
hladílnik (-a),noun,-,Kühlschrank,,15,"Substantiv, m ",459,http://mrg.bz/Tv2yXe,freezer
hóbi (-ja),noun,m ,Hobby,,1,Substantiv ,459,,
"hoditi, -i",verb,-,gehen,,13,"Verb, impf ",145,,
"hoditi, hodi",verb,-,gehen,,8,"Verb, impf ",145,,
"hodíti, hódi",verb,-,(herum) gehen,,9,"Verb, impf ",145,,
hodnik (-a),noun,m ,Flur,,8,Substantiv ,459,,
hotél (-a),noun,m ,Hotel,,1,Substantiv ,459,,
"hruška, -e",noun,f ,Birne,,11,Substantiv ,459,,
hudo-ega,noun,n ,Übel,,10,Substantiv ,459,,
hvála,mix,-,Danke,,5,Interjektion ,32,,
hvála (-e),noun,f ,Dank,,2,Substantiv ,459,,
idêja (-e),noun,f ,Idee,,1,Substantiv ,459,,
imé (-ena),noun,n ,"Name, Vorname",,2,Substantiv ,459,,
"imenovati se, imenujem se",verb,-,sich nennen,,12,"Verb, impf ",145,,
"iméti, imá",verb,-,haben,,2,"Verb, impf ",145,,
"iméti, imà",verb,-,haben,,5,"Verb, impf ",145,,
ín,mix,-,und,,4,Konjunktion ,32,,
informácija (-e),noun,f ,Information,,6,Substantiv ,459,,
internét (-a),noun,-,Internet,,15,"Substantiv, m ",459,,
ínternét (-a),noun,f ,Internet,,1,Substantiv ,459,,
inženír (-ja),noun,m ,Ingenieur,,1,Substantiv ,459,,
"iskati , išče",verb,-,suchen,,8,"Verb, impf ",145,,
Italija (-e),noun,f ,Italien,,14,Substantiv ,459,,
iti iskat,verb,-,gehen,,7,"Verb, pf / impf ",145,,
"iti, gre",verb,-,gehen,,10,"Verb, impf/pf ",145,,
"íti, gré",verb,-,gehen,,2,"Verb, pf / impf ",145,,
iz,prep,-,"aus, von",,13,"Präposition, Gen. ",18,,
"izdajátelj, -a",noun,m ,Herausgeber,,16,Substantiv ,459,,
"izdati, -a",verb,-,herausgeben,,12,"Verb, pf ",145,,
izgovarjáva (-e),noun,f ,Aussprache,,1,Substantiv ,459,,
izlet (-a),noun,m ,Ausflug,,13,Substantiv ,459,,
izlèt (-éta),noun,m ,Ausflug,,9,Substantiv ,459,,
izmed,prep,-,unter,,14,"Präposition, Gen ",18,,
"izvirati, -a",verb,-,stammen,,12,"Verb, impf ",145,,
"izvoli, -ta, -te",mix,-,bitte!,,15,Imperativ ,32,,
"izvóli, -ta, -te",mix,-,bitte!,,5,Imperativ ,32,,
"izvóliti, -i",verb,-,wählen,,5,"Verb, pf und impf ",145,,
"izvolíti, -m",verb,-,wählen,,15,"Verb, pf, impf ",145,,
jabolčni sok,noun,m ,Apfelsaft,,5,Substantiv ,459,,
jabolčni zavitek,noun,m ,Apfelstrudel,,5,Substantiv ,459,,
"jabolko, -a",noun,n ,Apfel,,11,Substantiv ,459,,
"jadranski, -a, -o",adj,-,Adria-,,14,Adjektiv ,208,,
"jagoda, -e",noun,f ,Erdbeere,,11,Substantiv ,459,,
jákna (-e),noun,f ,Jacke,,9,Substantiv ,459,,
jama (-e),noun,f ,"Höhle, Grotte",,14,Substantiv ,459,,
jánuar (-ja),noun,m ,Januar,,1,Substantiv ,459,,
jedi,noun,f ,Speisen,,5,"Substantiv, pl ",459,,
jesén (-i),noun,f ,Herbst,,9,Substantiv ,459,,
jeséni,adj,-,im Herbst,,9,Adverb ,208,,
jezik (-a),noun,-,Sprache,,12,"Substantiv, m ",459,,
"jêzik, -íka",noun,m ,Sprache,0,16,Substantiv ,459,,
jógurt (-a),noun,m ,Joghurt,,1,Substantiv ,459,,
"jogurt, -a",noun,m ,Joghurt,0,11,Substantiv ,459,,
joj,mix,-,oh,,10,Interjektion ,32,,
jòj,mix,-,oh,,3,Interjektion ,32,,
jota (-e),noun,f ,Eintopf aus sauren Rüben,0,5,Substantiv ,459,,
jug (-a),noun,m ,Süden,,8,Substantiv ,459,,
jugozahod (-a),noun,m ,Südwesten,,14,Substantiv ,459,,
juha (-e),noun,f ,Suppe,,5,Substantiv ,459,,
juha-e,noun,f ,Suppe,,10,Substantiv ,459,,
júnij (-a),noun,m ,Juni,,1,Substantiv ,459,,
jutri,adj,-,morgen,,13,Adverb ,208,,
kaj (česa),pron,-,etwas,,11,Pronomen ,28,,
"kaj, česa",pron,-,(et)was,,10,Indefinitpronomen ,28,,
"káj, čésa",pron,-,was,,3,Fragepronomen ,28,,
kakav (-a),noun,m ,Kakao,,5,Substantiv ,459,,
kakó,pron,-,wie,,3,Fragepronomen ,28,,
"kákšen -šna, -o",pron,-,"wie, was für ein",,3,Interrogativpronom ,28,,
"kakšen, -šna, -o",pron,-,"was für ein/eine/ein, wie",,12,Interrogativpronomen ,28,,
kam,pron,-,wohin,,13,Interrogativpronomen ,28,,
kamilični čaj,noun,m ,Kamillentee,,5,Substantiv ,459,,
kapučino (-a),noun,m ,Cappuccino,,5,Substantiv ,459,http://mrg.bz/hIzuzC,"cappucino,cappucino1"
kapučíno (-a),noun,m ,Cappuccino,,1,Substantiv ,459,,
kàr,adj,-,ziemlich,,2,Adverb ,208,,
kárta (-e),noun,f ,Karte,,1,Substantiv ,459,,
katalóg (-a),noun,-,Katalog,,15,"Substantiv, m ",459,,
kava (-e),noun,f ,Kaffee,,5,Substantiv ,459,,
káva (-e),noun,f ,Kaffee,,6,Substantiv ,459,,
kava s smetano,noun,f ,Kaffee mit Sahne,,5,Substantiv ,459,,
kdaj,pron,-,wann,,12,Interrogativpronomen ,28,,
ker,mix,-,weil,,13,Konjunktion ,32,,
"kila, -e",noun,f ,Kilogramm (umgspr.),,11,Substantiv ,459,,
"kilogram, -a",noun,m ,Kilogramm,,11,Substantiv ,459,,
kíno (-a),noun,m ,Kino,,1,Substantiv ,459,,
kiosk (-a),noun,m ,Kiosk,,8,Substantiv ,459,,
"kísel, -la, -lo",adj,-,sauer,,15,Adjektiv ,208,,
"kisla repa (-e, -e)",noun,f ,Navette-Rübchen (saure Rüben - wird wie Sauerkraut zubereitet),0,5,Substantiv ,459,,
"kislo zelje (-ega, -a)",noun,n ,Sauerkraut,,5,Substantiv ,459,,
"kitájski -a, -o",adj,-,chinesisch,,3,Adjektiv ,208,,
"kivi, -ja",noun,m ,Kiwi,,11,Substantiv ,459,http://mrg.bz/T6mtQG,kiwi
kje,pron,-,wo,,8,Interrogativpronomen ,28,,
kljúb tému,mix,-,trotzdem,,9,Konjunktion ,32,,
knjiga (-e),noun,-,Buch,,12,"Substantiv, f ",459,,
knjíga (-e),noun,f ,Buch,,3,Substantiv ,459,,
"književen -vna, -o",adj,-,Literatur-,0,13,Adjektiv ,208,,
"knjižévnost, -i",noun,f ,Literatur,,16,Substantiv ,459,,
ko,mix,-,als,,9,Konjunktion ,32,,
kokakola (-e),noun,f ,Coca Cola,,5,Substantiv ,459,http://mrg.bz/GWBE6j,coke
kokta (-e),noun,f ,slowenische Cola,,5,Substantiv ,459,,
"kolesáriti, -i",verb,-,Rad fahren,,4,"Verb, impf ",145,,
koliko,pron,-,"wieviel, wie viele",,11,Interrogativpronomen ,28,,
kônec (-nca),noun,m ,Ende,,9,Substantiv ,459,,
"kônjski -a, -o",adj,-,Pferde-,,9,Adjektiv ,208,,
kopalnica (-e),noun,f ,Bad,,8,Substantiv ,459,,
korenina (-e),noun,-,Wurzel,,12,"Substantiv, f ",459,,
"korenje, -a",noun,n ,Karotte,,11,"Substantiv, Sg ",459,http://mrg.bz/WmzcFu,carots
kosílo (-a),noun,n ,Mittagessen,,6,Substantiv ,459,,
kot,mix,-,"als, wie",,14,Konjunktion ,32,,
kòt,mix,-,als,,4,Konjunktion ,32,,
kotlet (-a),noun,m ,Kotelett,,5,Substantiv ,459,,
"kràj , krája",noun,m ,Ort,,2,Substantiv ,459,,
"kranjska klobasa (-e, -e)",noun,f ,Krainer Wurst,,5,Substantiv ,459,,
kremšnita (-e),noun,f ,Cremeschnitte,,5,Substantiv ,459,,
krompir (-ja),noun,m ,Kartoffel,,13,Substantiv ,459,http://mrg.bz/QQ9MBO,potato
krompír (-ja),noun,m ,Kartoffel,,6,Substantiv ,459,,
krompir-ja,noun,m/Sg ,Kartoffel,,10,Substantiv ,459,,
"krompir, -ja",noun,m ,Kartoffel,,11,"Substantiv, Sg ",459,,
kruh (-a),noun,m/Sg ,Brot,,13,Substantiv ,459,http://mrg.bz/TiFD6J,bread
krùh (krúha),noun,m ,Brot,,6,Substantiv/Sg ,459,,
"kruh, -a",noun,m ,Brot,,11,"Substantiv, Sg ",459,,
kuhinja (-e),noun,f ,Küche,,13,Substantiv ,459,http://mrg.bz/NvUzIm,kitchen
kúhinja (-e),noun,f ,Küche,,6,Substantiv ,459,,
kuhinja-e,noun,f ,Küche,,10,Substantiv ,459,,
kulísa (-e),noun,f ,Kulisse,,9,Substantiv ,459,,
kultura (-e),noun,-,Kultur,,12,"Substantiv, f ",459,,
"kulturni -a, -o",adj,-,Kultur-,,13,Adjektiv ,208,,
"kupíti, kúpi",verb,-,kaufen,,9,"Verb, impf ",145,,
kústosinja (-e),noun,f ,Kuratorin,,2,Substantiv ,459,,
"láčen -čna, -o",adj,-,hungrig,,5,Adjektiv ,208,,
ládja (-e),noun,f ,Schiff,,9,Substantiv ,459,http://mrg.bz/kxeURE,ship
ládjica (-e),noun,f ,Boot,,6,Substantiv/Diminutiv ,459,,
"láhek -hka, -o",adj,-,leicht,,2,Adjektiv ,208,,
lahko,mix,-,"können, kann",,10,Modalwort / Prädikativ ,32,,
lahkó,mix,-,können Sie/ kannst du?,,5,Modalausdruck ,32,,
láni,adj,-,voriges Jahr,,9,Adverb ,208,,
ledena kava,noun,f ,Eiskaffee,,5,Substantiv ,459,,
ledeni čaj,noun,m ,Eistee,,5,Substantiv ,459,,
lekarna (-e),noun,f ,Apotheke,,8,Substantiv ,459,,
lékcija (-e),noun,f ,Lektion,,1,Substantiv ,459,,
léktor (-ja),noun,m ,"Lektor, Sprachlehrer",,1,Substantiv ,459,,
"lép -a, -o",adj,-,schön,,3,Adjektiv ,208,,
lepo,adj,-,schön,,7,Adverb ,208,,
"lepši, -a, -e",adj,-,schöner,,14,Adjektiv ,208,,
leto (-a),noun,n ,Jahr,,13,Substantiv ,459,,
léto (-a),noun,n ,Jahr,,2,Substantiv ,459,,
létos,adj,-,in diesem Jahr,,9,Adverb ,208,,
léva (-e),noun,f ,linke Seite,,3,Substantiv ,459,,
"ležati, leži",verb,-,liegen,,14,"Verb, impf ",145,,
líla (unveränderlich),adj,-,lila,,3,Adjektiv ,208,,
limóna (-e),noun,f ,Zitrone,,1,Substantiv ,459,http://mrg.bz/cTqNat,lemon
limonada (-e),noun,f ,Limonade,,5,Substantiv ,459,,
limonáda (-e),noun,f ,Zitronenlimonade,,6,Substantiv ,459,,
lipov čaj,noun,m ,Lindenblütentee,,5,Substantiv ,459,,
"liter, litra",noun,m ,Liter,,11,Substantiv ,459,,
literatúra (-e),noun,f ,Literatur,,1,Substantiv ,459,,
Ljubljánica (-e),noun,f ,Fluß durch Ljubljana,0,6,Substantiv ,459,,
"ljubljánski -a, -o",adj,-,Ljubljanaer,,9,Adjektiv ,208,,
ljudje (ljudi),noun,m/Pl ,Leute (Pl. von Mensch),0,14,Substantiv ,459,,
"lubenica, -e",noun,f ,Wassermelone,,11,Substantiv ,459,,
"lúksuzen -zna, -o",adj,-,Luxus-,,9,Adjektiv ,208,,
magistrat (-a),noun,m ,Rathaus,,8,Substantiv ,459,,
máj (-a),noun,m ,Mai,,1,Substantiv ,459,,
"májhen -hna, -o",adj,-,klein,,3,Adjektiv ,208,,
málica (-e),noun,f ,Imbiss,,9,Substantiv ,459,,
malo pivo,noun,n ,kleines Bier,,5,Substantiv ,459,,
máma (-e),noun,f ,Mama,,1,Substantiv ,459,,
"mandarina, -e",noun,f ,Mandarine,,11,Substantiv ,459,,
"manjši, -a, -e",adj,-,kleiner,,14,Adjektiv ,208,,
"marelica, -e",noun,f ,Aprikose,,11,Substantiv ,459,,
marmeláda (-e),noun,f ,Marmelade,,6,Substantiv ,459,http://mrg.bz/779lXm,jam
máslo (-a),noun,n ,Butter,,6,Substantiv ,459,http://mrg.bz/UwiCyP,butter
"mati, matere",noun,-,Mutter,,12,"Substantiv, f ",459,,
meja (-e),noun,f ,Grenze,,14,Substantiv ,459,,
"mejni, -a, -o",adj,-,Grenz-,,14,Adjektiv ,208,,
"meriti, -i",verb,-,messen,,14,"Verb, impf ",145,,
mešana solata,noun,f ,Gemischter Salat,,5,Substantiv ,459,,
mesec (-a),noun,m ,Monat,,13,Substantiv ,459,,
"méstni -a, -o",adj,-,Stadt-,,3,Adjektiv ,208,,
mesto (-a),noun,n ,Stadt,,14,Substantiv ,459,http://mrg.bz/IOI7AI,city
mésto (-a),noun,n ,Stadt,,3,Substantiv ,459,,
meter (-tra),noun,m ,Meter,,14,Substantiv ,459,,
mineralna voda,noun,f ,Mineralwasser,,5,Substantiv ,459,,
"misliti, -i",verb,-,denken,,7,"Verb, impf ",145,,
míza (-e),noun,f ,Tisch,,3,Substantiv ,459,,
"mlad, -a, -o",adj,-,jung,,14,Adjektiv ,208,,
"mlád, -a, -o",adj,-,jung,,6,Adjektiv ,208,,
"mlajši, -a, -e",adj,-,jünger,,14,Adjektiv ,208,,
mleko (-a),noun,n ,Milch,,5,Substantiv ,459,,
"mleko, -a",noun,n ,Milch,,11,"Substantiv, Sg ",459,,
"močnejši, -a, -e",adj,-,stärker,,14,Adjektiv ,208,,
"móder -dra, -o",adj,-,blau,,3,Adjektiv ,208,,
"moder, -dra, -o",adj,-,blau,,14,Adjektiv ,208,,
"modêren -rna, -o",adj,-,modern,,3,Adjektiv ,208,,
moderna (-e),noun,-,Moderne,,12,"Substantiv, f ",459,,
"mogočen, -čna, -o",adj,-,gewaltig,,14,Adjektiv ,208,,
"mój , môja, môje",pron,-,mein,,2,Possessivpronomen ,28,,
"moj, -a, -e",pron,-,"mein, meine, mein",,12,Possesivpronomen ,28,,
"mój, môja , -e",pron,-,mein,,3,Possessivpronomen ,28,,
"monografíja, -e",noun,f ,Monographie,,16,Substantiv ,459,,
morje (-a),noun,n ,Meer,,14,Substantiv ,459,http://mrg.bz/GKdsEo,sea
"mornárski -a, -o",adj,-,Matrosen-,,9,Adjektiv ,208,,
most (-u),noun,m ,Brücke,,8,Substantiv ,459,,
móst (-ú),noun,m ,Brücke,,6,Substantiv ,459,,
mož (-a),noun,m ,Ehemann,,7,Substantiv ,459,,
"mŕzel -zla, -o",adj,-,kalt,,5,Adjektiv ,208,,
muzêj (-a),noun,m ,Museum,,1,Substantiv ,459,,
na,prep,-,-,,6,Präposition,18,,
nad,prep,-,-,,6,Präposition,18,,
nagráda-e,noun,f ,"Preis, Prämie",,16,Substantiv ,459,,
nájprej,adj,-,zuerst,,4,Adverb ,208,,
"nájti, nájde",verb,-,finden,,15,"Verb, pf ",145,,
"napisati, napiše",verb,-,schreiben,,13,"Verb, pf ",145,,
"napisati, napišem",verb,-,schreiben,,12,"Verb, pf ",145,,
"naredíti, -í",verb,-,"machen, tun",,15,"Verb, pf ",145,,
"národen -dna, -o",adj,-,national,,3,Adjektiv ,208,,
"naslednji -a, -e",adj,-,"der, die, das nächste",,13,Adjektiv ,208,,
naslov (-a),noun,-,Titel,,12,"Substantiv, m ",459,,
naslòv (-ôva),noun,m ,Adresse,,2,Substantiv ,459,,
nastòp (-a),noun,m ,Auftritt,,9,Substantiv ,459,,
nastópati -a,verb,-,auftreten,,9,"Verb, impf ",145,,
nasvídenje oder na svídenje,mix,-,Auf Wiedersehen!,,2,Interjektion ,32,,
natákar (-ja),noun,m ,Kellner,,2,Substantiv ,459,,
natákarica (-e),noun,f ,Kellnerin,,4,Substantiv ,459,,
nató,adj,-,"danach, anschließend",,15,Adverb ,208,,
"ne imeti, nima",verb,-,nicht haben,,10,"Verb, impf ",145,,
"ne imeti, níma",verb,-,nicht haben,,15,"Verb, impf ",145,,
"nék -a, -o",pron,-,"ein (gewisser), eine (gewisse), ein (gewisses)",0,9,Pronomen ,28,,
nekóč,adj,-,früher,,9,Adverb ,208,,
Némčija (-e),noun,f ,Deutschland,,2,Substantiv ,459,,
nemščina (-e),noun,f ,deutsche Sprache,,13,Substantiv ,459,,
"nervózen -zna, -o",adj,-,nervös,,1,Adjektiv ,208,,
neznanec (-nca),noun,m ,Unbekannte,,8,Substantiv ,459,,
"nič, ničesar",pron,-,nichts,,10,Indefinitpronomen ,28,,
nikóli,adj,-,nie,,9,Adverb ,208,,
"nizek, -a, -o",adj,-,niedrig,,14,Adjektiv ,208,,
"nižji, -a, -e",adj,-,niedriger,,14,Adjektiv ,208,,
"njegov, -a, -o",pron,-,"sein, seine, sein",,12,Possesivpronomen ,28,,
"njén -a, -o",pron,-,ihr,,2,Possessivpronomen ,28,,
"njen, -a, -o",pron,-,"ihr, ihre, ihre",,12,Possesivpronomen ,28,,
