,foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
331,mešana solata,noun,f ,Gemischter Salat,,5,Substantiv ,459,,
332,mesec (-a),noun,m ,Monat,,13,Substantiv ,459,,
333,"méstni -a, -o",adj,-,Stadt-,,3,Adjektiv ,208,,
334,mesto (-a),noun,n ,Stadt,,14,Substantiv ,459,http://mrg.bz/IOI7AI,city
336,meter (-tra),noun,m ,Meter,,14,Substantiv ,459,,
337,mineralna voda,noun,f ,Mineralwasser,,5,Substantiv ,459,,
338,"misliti, -i",verb,-,denken,,7,"Verb, impf ",145,,
339,míza (-e),noun,f ,Tisch,,3,Substantiv ,459,,
340,"mlad, -a, -o",adj,-,jung,,14,Adjektiv ,208,,
342,"mlajši, -a, -e",adj,-,jünger,,14,Adjektiv ,208,,
343,mleko (-a),noun,n ,Milch,,5,Substantiv ,459,,
345,"močnejši, -a, -e",adj,-,stärker,,14,Adjektiv ,208,,
346,"móder -dra, -o",adj,-,blau,,3,Adjektiv ,208,,
348,"modêren -rna, -o",adj,-,modern,,3,Adjektiv ,208,,
349,moderna (-e),noun,-,Moderne,,12,"Substantiv, f ",459,,
350,"mogočen, -čna, -o",adj,-,gewaltig,,14,Adjektiv ,208,,
351,"mój , môja, môje",pron,-,mein,,2,Possessivpronomen ,28,,
352,"moj, -a, -e",pron,-,"mein, meine, mein",,12,Possesivpronomen ,28,,
354,"monografíja, -e",noun,f ,Monographie,,16,Substantiv ,459,,
355,morje (-a),noun,n ,Meer,,14,Substantiv ,459,http://mrg.bz/GKdsEo,sea
356,"mornárski -a, -o",adj,-,Matrosen-,,9,Adjektiv ,208,,
357,most (-u),noun,m ,Brücke,,8,Substantiv ,459,,
359,mož (-a),noun,m ,Ehemann,,7,Substantiv ,459,,
360,"mŕzel -zla, -o",adj,-,kalt,,5,Adjektiv ,208,,
361,muzêj (-a),noun,m ,Museum,,1,Substantiv ,459,,
364,nagráda-e,noun,f ,"Preis, Prämie",,16,Substantiv ,459,,
365,nájprej,adj,-,zuerst,,4,Adverb ,208,,
366,"nájti, nájde",verb,-,finden,,15,"Verb, pf ",145,,
367,"napisati, napiše",verb,-,schreiben,,13,"Verb, pf ",145,,
369,"naredíti, -í",verb,-,"machen, tun",,15,"Verb, pf ",145,,
370,"národen -dna, -o",adj,-,national,,3,Adjektiv ,208,,
371,"naslednji -a, -e",adj,-,"der, die, das nächste",,13,Adjektiv ,208,,
372,naslov (-a),noun,-,Titel,,12,"Substantiv, m ",459,,
373,naslòv (-ôva),noun,m ,Adresse,,2,Substantiv ,459,,
374,nastòp (-a),noun,m ,Auftritt,,9,Substantiv ,459,,
375,nastópati -a,verb,-,auftreten,,9,"Verb, impf ",145,,
376,nasvídenje oder na svídenje,mix,-,Auf Wiedersehen!,,2,Interjektion ,32,,
377,natákar (-ja),noun,m ,Kellner,,2,Substantiv ,459,,
378,natákarica (-e),noun,f ,Kellnerin,,4,Substantiv ,459,,
379,nató,adj,-,"danach, anschließend",,15,Adverb ,208,,
380,"ne imeti, nima",verb,-,nicht haben,,10,"Verb, impf ",145,,
383,nekóč,adj,-,früher,,9,Adverb ,208,,
384,Némčija (-e),noun,f ,Deutschland,,2,Substantiv ,459,,
385,nemščina (-e),noun,f ,deutsche Sprache,,13,Substantiv ,459,,
386,"nervózen -zna, -o",adj,-,nervös,,1,Adjektiv ,208,,
387,neznanec (-nca),noun,m ,Unbekannte,,8,Substantiv ,459,,
388,"nič, ničesar",pron,-,nichts,,10,Indefinitpronomen ,28,,
389,nikóli,adj,-,nie,,9,Adverb ,208,,
390,"nizek, -a, -o",adj,-,niedrig,,14,Adjektiv ,208,,
391,"nižji, -a, -e",adj,-,niedriger,,14,Adjektiv ,208,,
392,"njegov, -a, -o",pron,-,"sein, seine, sein",,12,Possesivpronomen ,28,,
393,"njén -a, -o",pron,-,ihr,,2,Possessivpronomen ,28,,
394,"njen, -a, -o",pron,-,"ihr, ihre, ihre",,12,Possesivpronomen ,28,,
395,"njún -a, -o",pron,-,ihr (beider),,2,Possessivpronomen ,28,,
396,no,mix,-,na,,8,Interjektion ,32,,
397,nóč (-i),noun,f ,Nacht,,2,Substantiv ,459,,
