index,sm1,sm2,sm3,sm4,sm5
Mirt,0,0,0,15,0
Mis,0,0,0,121,191
Mist,2,2,2,3,2
Mit,19,12,12,106,17
Mit7,7,7,7,7,7
Mitr,2,2,2,2,2
Mitst,0,0,0,2,0
Mix,0,0,0,8,1
Miz,0,0,0,3,0
Mj*a,23,0,23,23,23
Mj*an,2,0,2,2,2
Mj*e,55,0,56,55,55
Mj*er,17,0,16,17,16
Mj*ers,0,0,0,0,1
Mj*i,36,0,36,36,36
Mj*o,1,0,1,1,1
Mj*oj,13,0,13,13,13
Mj*u,18,0,18,18,18
Mj@,26,0,26,3,3
Mj@r,0,0,0,23,23
Mji,13,0,13,13,13
Mjim,3,0,3,3,3
Mjix,3,0,3,3,3
Mju,1,0,1,1,1
Ms*ot,1,0,1,0,0
Mu,1,1,1,1,1
N*a,600,762,779,745,845
N*a7,0,0,0,0,6
N*aN,3,3,0,1,3
N*aS,4,4,4,4,4
N*aT,185,185,185,206,205
N*af,27,13,13,16,13
N*aj,4,1,1,7,4
N*ak,0,0,0,8,3
N*al,38,31,17,47,37
N*am,4,4,4,6,6
N*at,163,13,13,177,13
N*ax,4,4,4,5,4
N*e,1611,2208,2369,2167,2193
N*e2,120,120,120,124,120
N*e4,62,0,0,62,27
N*e5,55,0,0,0,0
N*e7,187,0,0,187,0
N*eL,4,3,1,1,4
N*eN,2,2,0,2,2
N*eST,1,1,1,1,1
N*eT,1,1,1,4,1
N*edr,1,1,1,1,1
N*ef,19,2,2,5,11
N*efT,9,9,9,9,9
N*eg,8,0,0,0,0
N*egr,1,1,1,1,1
N*ej,122,109,109,162,202
N*ek,4,0,0,4,0
N*el,7,7,7,13,9
N*em,19,19,1,3,19
N*en,30,30,1,3,28
N*ens,0,0,0,0,2
N*ent,6,6,6,9,6
N*er,159,136,26,139,156
N*erf,3,3,3,3,3
N*ers,0,0,0,0,3
N*ert,0,0,0,3,0
N*es,219,3,3,3,218
N*est,0,0,0,1,1
N*et,209,197,197,223,210
N*ev,0,0,0,7,0
N*evr,1,1,1,1,1
N*i,1439,1898,1942,1931,1891
N*i2,21,19,19,22,19
N*i4,40,0,0,49,1
N*i5,34,0,0,0,0
N*i7,4,3,3,5,5
N*iD,2,0,0,2,0
N*iL,1,0,0,0,4
N*iS,4,3,3,4,4
N*iT,155,154,154,202,155
N*if,59,18,18,22,18
N*ij,0,0,0,4,0
N*ijs,0,0,0,0,4
N*ik,23,11,11,79,16
N*il,115,115,74,152,115
N*im,135,129,129,135,129
N*imp,1,1,1,1,1
N*in,19,16,13,19,13
N*ins,0,0,0,0,3
N*ir,1,0,0,15,15
N*is,180,8,8,9,186
N*ist,6,6,6,12,6
N*istr,34,34,34,34,34
N*it,96,38,38,106,38
N*ix,198,198,198,199,198
N*ixt,1,1,1,1,1
N*iz,85,0,0,85,0
N*izm,52,52,52,52,52
N*o,12,107,110,70,122
N*o7,0,0,0,5,1
